DexNum,TM_HM,Move_Name,Type
76,TM01,Mega Punch,Normal
80,TM01,Mega Punch,Normal
94,TM01,Mega Punch,Normal
96,TM01,Mega Punch,Normal
97,TM01,Mega Punch,Normal
104,TM01,Mega Punch,Normal
105,TM01,Mega Punch,Normal
106,TM01,Mega Punch,Normal
107,TM01,Mega Punch,Normal
108,TM01,Mega Punch,Normal
112,TM01,Mega Punch,Normal
113,TM01,Mega Punch,Normal
115,TM01,Mega Punch,Normal
122,TM01,Mega Punch,Normal
124,TM01,Mega Punch,Normal
125,TM01,Mega Punch,Normal
126,TM01,Mega Punch,Normal
143,TM01,Mega Punch,Normal
150,TM01,Mega Punch,Normal
151,TM01,Mega Punch,Normal
12,TM02,Razor Wind,Normal
16,TM02,Razor Wind,Normal
17,TM02,Razor Wind,Normal
18,TM02,Razor Wind,Normal
21,TM02,Razor Wind,Normal
22,TM02,Razor Wind,Normal
41,TM02,Razor Wind,Normal
42,TM02,Razor Wind,Normal
49,TM02,Razor Wind,Normal
83,TM02,Razor Wind,Normal
141,TM02,Razor Wind,Normal
142,TM02,Razor Wind,Normal
144,TM02,Razor Wind,Normal
145,TM02,Razor Wind,Normal
146,TM02,Razor Wind,Normal
149,TM02,Razor Wind,Normal
151,TM02,Razor Wind,Normal
1,TM03,Swords Dance,Normal
2,TM03,Swords Dance,Normal
3,TM03,Swords Dance,Normal
4,TM03,Swords Dance,Normal
5,TM03,Swords Dance,Normal
6,TM03,Swords Dance,Normal
15,TM03,Swords Dance,Normal
27,TM03,Swords Dance,Normal
28,TM03,Swords Dance,Normal
43,TM03,Swords Dance,Normal
44,TM03,Swords Dance,Normal
45,TM03,Swords Dance,Normal
46,TM03,Swords Dance,Normal
47,TM03,Swords Dance,Normal
69,TM03,Swords Dance,Normal
70,TM03,Swords Dance,Normal
71,TM03,Swords Dance,Normal
72,TM03,Swords Dance,Normal
73,TM03,Swords Dance,Normal
83,TM03,Swords Dance,Normal
98,TM03,Swords Dance,Normal
99,TM03,Swords Dance,Normal
108,TM03,Swords Dance,Normal
114,TM03,Swords Dance,Normal
123,TM03,Swords Dance,Normal
127,TM03,Swords Dance,Normal
141,TM03,Swords Dance,Normal
151,TM03,Swords Dance,Normal
12,TM04,Whirlwind,Normal
16,TM04,Whirlwind,Normal
17,TM04,Whirlwind,Normal
18,TM04,Whirlwind,Normal
21,TM04,Whirlwind,Normal
22,TM04,Whirlwind,Normal
41,TM04,Whirlwind,Normal
42,TM04,Whirlwind,Normal
49,TM04,Whirlwind,Normal
83,TM04,Whirlwind,Normal
84,TM04,Whirlwind,Normal
85,TM04,Whirlwind,Normal
142,TM04,Whirlwind,Normal
144,TM04,Whirlwind,Normal
145,TM04,Whirlwind,Normal
146,TM04,Whirlwind,Normal
151,TM04,Whirlwind,Normal
4,TM05,Mega Kick,Normal
5,TM05,Mega Kick,Normal
6,TM05,Mega Kick,Normal
7,TM05,Mega Kick,Normal
8,TM05,Mega Kick,Normal
9,TM05,Mega Kick,Normal
25,TM05,Mega Kick,Normal
26,TM05,Mega Kick,Normal
31,TM05,Mega Kick,Normal
34,TM05,Mega Kick,Normal
35,TM05,Mega Kick,Normal
36,TM05,Mega Kick,Normal
39,TM05,Mega Kick,Normal
40,TM05,Mega Kick,Normal
54,TM05,Mega Kick,Normal
55,TM05,Mega Kick,Normal
56,TM05,Mega Kick,Normal
57,TM05,Mega Kick,Normal
61,TM05,Mega Kick,Normal
62,TM05,Mega Kick,Normal
63,TM05,Mega Kick,Normal
64,TM05,Mega Kick,Normal
65,TM05,Mega Kick,Normal
66,TM05,Mega Kick,Normal
67,TM05,Mega Kick,Normal
68,TM05,Mega Kick,Normal
76,TM05,Mega Kick,Normal
80,TM05,Mega Kick,Normal
94,TM05,Mega Kick,Normal
96,TM05,Mega Kick,Normal
97,TM05,Mega Kick,Normal
104,TM05,Mega Kick,Normal
105,TM05,Mega Kick,Normal
106,TM05,Mega Kick,Normal
107,TM05,Mega Kick,Normal
108,TM05,Mega Kick,Normal
112,TM05,Mega Kick,Normal
113,TM05,Mega Kick,Normal
115,TM05,Mega Kick,Normal
122,TM05,Mega Kick,Normal
124,TM05,Mega Kick,Normal
125,TM05,Mega Kick,Normal
126,TM05,Mega Kick,Normal
141,TM05,Mega Kick,Normal
143,TM05,Mega Kick,Normal
150,TM05,Mega Kick,Normal
151,TM05,Mega Kick,Normal
1,TM06,Toxic,Poison
2,TM06,Toxic,Poison
3,TM06,Toxic,Poison
4,TM06,Toxic,Poison
5,TM06,Toxic,Poison
6,TM06,Toxic,Poison
7,TM06,Toxic,Poison
8,TM06,Toxic,Poison
9,TM06,Toxic,Poison
12,TM06,Toxic,Poison
15,TM06,Toxic,Poison
16,TM06,Toxic,Poison
17,TM06,Toxic,Poison
18,TM06,Toxic,Poison
19,TM06,Toxic,Poison
20,TM06,Toxic,Poison
21,TM06,Toxic,Poison
22,TM06,Toxic,Poison
23,TM06,Toxic,Poison
24,TM06,Toxic,Poison
25,TM06,Toxic,Poison
26,TM06,Toxic,Poison
27,TM06,Toxic,Poison
28,TM06,Toxic,Poison
29,TM06,Toxic,Poison
30,TM06,Toxic,Poison
31,TM06,Toxic,Poison
32,TM06,Toxic,Poison
33,TM06,Toxic,Poison
34,TM06,Toxic,Poison
35,TM06,Toxic,Poison
36,TM06,Toxic,Poison
37,TM06,Toxic,Poison
38,TM06,Toxic,Poison
39,TM06,Toxic,Poison
40,TM06,Toxic,Poison
41,TM06,Toxic,Poison
42,TM06,Toxic,Poison
43,TM06,Toxic,Poison
44,TM06,Toxic,Poison
45,TM06,Toxic,Poison
46,TM06,Toxic,Poison
47,TM06,Toxic,Poison
48,TM06,Toxic,Poison
49,TM06,Toxic,Poison
50,TM06,Toxic,Poison
51,TM06,Toxic,Poison
52,TM06,Toxic,Poison
53,TM06,Toxic,Poison
54,TM06,Toxic,Poison
55,TM06,Toxic,Poison
56,TM06,Toxic,Poison
57,TM06,Toxic,Poison
58,TM06,Toxic,Poison
59,TM06,Toxic,Poison
60,TM06,Toxic,Poison
61,TM06,Toxic,Poison
62,TM06,Toxic,Poison
63,TM06,Toxic,Poison
64,TM06,Toxic,Poison
65,TM06,Toxic,Poison
66,TM06,Toxic,Poison
67,TM06,Toxic,Poison
68,TM06,Toxic,Poison
69,TM06,Toxic,Poison
70,TM06,Toxic,Poison
71,TM06,Toxic,Poison
72,TM06,Toxic,Poison
73,TM06,Toxic,Poison
74,TM06,Toxic,Poison
75,TM06,Toxic,Poison
76,TM06,Toxic,Poison
77,TM06,Toxic,Poison
78,TM06,Toxic,Poison
79,TM06,Toxic,Poison
80,TM06,Toxic,Poison
81,TM06,Toxic,Poison
82,TM06,Toxic,Poison
83,TM06,Toxic,Poison
84,TM06,Toxic,Poison
85,TM06,Toxic,Poison
86,TM06,Toxic,Poison
87,TM06,Toxic,Poison
88,TM06,Toxic,Poison
89,TM06,Toxic,Poison
90,TM06,Toxic,Poison
91,TM06,Toxic,Poison
92,TM06,Toxic,Poison
93,TM06,Toxic,Poison
94,TM06,Toxic,Poison
95,TM06,Toxic,Poison
96,TM06,Toxic,Poison
97,TM06,Toxic,Poison
98,TM06,Toxic,Poison
99,TM06,Toxic,Poison
100,TM06,Toxic,Poison
101,TM06,Toxic,Poison
102,TM06,Toxic,Poison
103,TM06,Toxic,Poison
104,TM06,Toxic,Poison
105,TM06,Toxic,Poison
106,TM06,Toxic,Poison
107,TM06,Toxic,Poison
108,TM06,Toxic,Poison
109,TM06,Toxic,Poison
110,TM06,Toxic,Poison
111,TM06,Toxic,Poison
112,TM06,Toxic,Poison
113,TM06,Toxic,Poison
114,TM06,Toxic,Poison
115,TM06,Toxic,Poison
116,TM06,Toxic,Poison
117,TM06,Toxic,Poison
118,TM06,Toxic,Poison
119,TM06,Toxic,Poison
120,TM06,Toxic,Poison
121,TM06,Toxic,Poison
122,TM06,Toxic,Poison
123,TM06,Toxic,Poison
124,TM06,Toxic,Poison
125,TM06,Toxic,Poison
126,TM06,Toxic,Poison
127,TM06,Toxic,Poison
128,TM06,Toxic,Poison
130,TM06,Toxic,Poison
131,TM06,Toxic,Poison
133,TM06,Toxic,Poison
134,TM06,Toxic,Poison
135,TM06,Toxic,Poison
136,TM06,Toxic,Poison
137,TM06,Toxic,Poison
138,TM06,Toxic,Poison
139,TM06,Toxic,Poison
140,TM06,Toxic,Poison
141,TM06,Toxic,Poison
142,TM06,Toxic,Poison
143,TM06,Toxic,Poison
144,TM06,Toxic,Poison
145,TM06,Toxic,Poison
146,TM06,Toxic,Poison
147,TM06,Toxic,Poison
148,TM06,Toxic,Poison
149,TM06,Toxic,Poison
150,TM06,Toxic,Poison
151,TM06,Toxic,Poison
30,TM07,Horn Drill,Normal
31,TM07,Horn Drill,Normal
34,TM07,Horn Drill,Normal
77,TM07,Horn Drill,Normal
78,TM07,Horn Drill,Normal
86,TM07,Horn Drill,Normal
87,TM07,Horn Drill,Normal
111,TM07,Horn Drill,Normal
112,TM07,Horn Drill,Normal
118,TM07,Horn Drill,Normal
119,TM07,Horn Drill,Normal
128,TM07,Horn Drill,Normal
131,TM07,Horn Drill,Normal
139,TM07,Horn Drill,Normal
148,TM07,Horn Drill,Normal
149,TM07,Horn Drill,Normal
151,TM07,Horn Drill,Normal
1,TM08,Body Slam,Normal
2,TM08,Body Slam,Normal
3,TM08,Body Slam,Normal
4,TM08,Body Slam,Normal
5,TM08,Body Slam,Normal
6,TM08,Body Slam,Normal
7,TM08,Body Slam,Normal
8,TM08,Body Slam,Normal
9,TM08,Body Slam,Normal
19,TM08,Body Slam,Normal
20,TM08,Body Slam,Normal
23,TM08,Body Slam,Normal
24,TM08,Body Slam,Normal
25,TM08,Body Slam,Normal
26,TM08,Body Slam,Normal
27,TM08,Body Slam,Normal
28,TM08,Body Slam,Normal
29,TM08,Body Slam,Normal
30,TM08,Body Slam,Normal
31,TM08,Body Slam,Normal
32,TM08,Body Slam,Normal
33,TM08,Body Slam,Normal
34,TM08,Body Slam,Normal
35,TM08,Body Slam,Normal
36,TM08,Body Slam,Normal
37,TM08,Body Slam,Normal
38,TM08,Body Slam,Normal
39,TM08,Body Slam,Normal
40,TM08,Body Slam,Normal
45,TM08,Body Slam,Normal
46,TM08,Body Slam,Normal
47,TM08,Body Slam,Normal
50,TM08,Body Slam,Normal
51,TM08,Body Slam,Normal
52,TM08,Body Slam,Normal
53,TM08,Body Slam,Normal
54,TM08,Body Slam,Normal
55,TM08,Body Slam,Normal
56,TM08,Body Slam,Normal
57,TM08,Body Slam,Normal
58,TM08,Body Slam,Normal
59,TM08,Body Slam,Normal
60,TM08,Body Slam,Normal
61,TM08,Body Slam,Normal
62,TM08,Body Slam,Normal
63,TM08,Body Slam,Normal
64,TM08,Body Slam,Normal
65,TM08,Body Slam,Normal
66,TM08,Body Slam,Normal
67,TM08,Body Slam,Normal
68,TM08,Body Slam,Normal
71,TM08,Body Slam,Normal
74,TM08,Body Slam,Normal
75,TM08,Body Slam,Normal
76,TM08,Body Slam,Normal
77,TM08,Body Slam,Normal
78,TM08,Body Slam,Normal
79,TM08,Body Slam,Normal
80,TM08,Body Slam,Normal
83,TM08,Body Slam,Normal
84,TM08,Body Slam,Normal
85,TM08,Body Slam,Normal
86,TM08,Body Slam,Normal
87,TM08,Body Slam,Normal
88,TM08,Body Slam,Normal
89,TM08,Body Slam,Normal
94,TM08,Body Slam,Normal
95,TM08,Body Slam,Normal
96,TM08,Body Slam,Normal
97,TM08,Body Slam,Normal
98,TM08,Body Slam,Normal
99,TM08,Body Slam,Normal
104,TM08,Body Slam,Normal
105,TM08,Body Slam,Normal
106,TM08,Body Slam,Normal
107,TM08,Body Slam,Normal
108,TM08,Body Slam,Normal
111,TM08,Body Slam,Normal
112,TM08,Body Slam,Normal
113,TM08,Body Slam,Normal
114,TM08,Body Slam,Normal
115,TM08,Body Slam,Normal
122,TM08,Body Slam,Normal
124,TM08,Body Slam,Normal
125,TM08,Body Slam,Normal
126,TM08,Body Slam,Normal
127,TM08,Body Slam,Normal
128,TM08,Body Slam,Normal
130,TM08,Body Slam,Normal
131,TM08,Body Slam,Normal
133,TM08,Body Slam,Normal
134,TM08,Body Slam,Normal
135,TM08,Body Slam,Normal
136,TM08,Body Slam,Normal
138,TM08,Body Slam,Normal
139,TM08,Body Slam,Normal
140,TM08,Body Slam,Normal
141,TM08,Body Slam,Normal
143,TM08,Body Slam,Normal
147,TM08,Body Slam,Normal
148,TM08,Body Slam,Normal
149,TM08,Body Slam,Normal
150,TM08,Body Slam,Normal
151,TM08,Body Slam,Normal
1,TM09,Take Down,Poison
2,TM09,Take Down,Poison
3,TM09,Take Down,Normal
4,TM09,Take Down,Normal
5,TM09,Take Down,Normal
6,TM09,Take Down,Normal
7,TM09,Take Down,Normal
8,TM09,Take Down,Normal
9,TM09,Take Down,Normal
12,TM09,Take Down,Normal
15,TM09,Take Down,Normal
16,TM09,Take Down,Normal
17,TM09,Take Down,Normal
18,TM09,Take Down,Normal
19,TM09,Take Down,Normal
20,TM09,Take Down,Normal
21,TM09,Take Down,Normal
22,TM09,Take Down,Normal
23,TM09,Take Down,Normal
24,TM09,Take Down,Normal
25,TM09,Take Down,Normal
26,TM09,Take Down,Normal
27,TM09,Take Down,Normal
28,TM09,Take Down,Normal
29,TM09,Take Down,Normal
30,TM09,Take Down,Normal
31,TM09,Take Down,Normal
32,TM09,Take Down,Normal
33,TM09,Take Down,Normal
34,TM09,Take Down,Normal
35,TM09,Take Down,Normal
36,TM09,Take Down,Normal
37,TM09,Take Down,Normal
38,TM09,Take Down,Normal
39,TM09,Take Down,Normal
40,TM09,Take Down,Normal
41,TM09,Take Down,Normal
42,TM09,Take Down,Normal
43,TM09,Take Down,Normal
44,TM09,Take Down,Normal
45,TM09,Take Down,Normal
46,TM09,Take Down,Normal
47,TM09,Take Down,Normal
48,TM09,Take Down,Normal
49,TM09,Take Down,Normal
50,TM09,Take Down,Normal
51,TM09,Take Down,Normal
52,TM09,Take Down,Normal
53,TM09,Take Down,Normal
54,TM09,Take Down,Normal
55,TM09,Take Down,Normal
56,TM09,Take Down,Normal
57,TM09,Take Down,Normal
58,TM09,Take Down,Normal
59,TM09,Take Down,Normal
60,TM09,Take Down,Normal
61,TM09,Take Down,Normal
62,TM09,Take Down,Normal
63,TM09,Take Down,Normal
64,TM09,Take Down,Normal
65,TM09,Take Down,Normal
66,TM09,Take Down,Normal
67,TM09,Take Down,Normal
68,TM09,Take Down,Normal
69,TM09,Take Down,Normal
70,TM09,Take Down,Normal
71,TM09,Take Down,Normal
72,TM09,Take Down,Normal
73,TM09,Take Down,Normal
74,TM09,Take Down,Normal
75,TM09,Take Down,Normal
76,TM09,Take Down,Normal
77,TM09,Take Down,Normal
78,TM09,Take Down,Normal
79,TM09,Take Down,Normal
80,TM09,Take Down,Normal
81,TM09,Take Down,Normal
82,TM09,Take Down,Normal
83,TM09,Take Down,Normal
84,TM09,Take Down,Normal
85,TM09,Take Down,Normal
86,TM09,Take Down,Normal
87,TM09,Take Down,Normal
90,TM09,Take Down,Normal
91,TM09,Take Down,Normal
94,TM09,Take Down,Normal
95,TM09,Take Down,Normal
96,TM09,Take Down,Normal
97,TM09,Take Down,Normal
98,TM09,Take Down,Normal
99,TM09,Take Down,Normal
100,TM09,Take Down,Normal
101,TM09,Take Down,Normal
102,TM09,Take Down,Normal
103,TM09,Take Down,Normal
104,TM09,Take Down,Normal
105,TM09,Take Down,Normal
106,TM09,Take Down,Normal
107,TM09,Take Down,Normal
108,TM09,Take Down,Normal
111,TM09,Take Down,Normal
112,TM09,Take Down,Normal
113,TM09,Take Down,Normal
114,TM09,Take Down,Normal
115,TM09,Take Down,Normal
116,TM09,Take Down,Normal
117,TM09,Take Down,Normal
118,TM09,Take Down,Normal
119,TM09,Take Down,Normal
120,TM09,Take Down,Normal
121,TM09,Take Down,Normal
122,TM09,Take Down,Normal
123,TM09,Take Down,Normal
124,TM09,Take Down,Normal
125,TM09,Take Down,Normal
126,TM09,Take Down,Normal
127,TM09,Take Down,Normal
128,TM09,Take Down,Normal
130,TM09,Take Down,Normal
131,TM09,Take Down,Normal
133,TM09,Take Down,Normal
134,TM09,Take Down,Normal
135,TM09,Take Down,Normal
136,TM09,Take Down,Normal
137,TM09,Take Down,Normal
138,TM09,Take Down,Normal
139,TM09,Take Down,Normal
140,TM09,Take Down,Normal
141,TM09,Take Down,Normal
142,TM09,Take Down,Normal
143,TM09,Take Down,Normal
144,TM09,Take Down,Normal
145,TM09,Take Down,Normal
146,TM09,Take Down,Normal
147,TM09,Take Down,Normal
148,TM09,Take Down,Normal
149,TM09,Take Down,Normal
150,TM09,Take Down,Normal
151,TM09,Take Down,Normal
1,TM10,Double-Edge,Normal
2,TM10,Double-Edge,Normal
3,TM10,Double-Edge,Normal
4,TM10,Double-Edge,Normal
5,TM10,Double-Edge,Normal
6,TM10,Double-Edge,Normal
7,TM10,Double-Edge,Normal
8,TM10,Double-Edge,Normal
9,TM10,Double-Edge,Normal
12,TM10,Double-Edge,Normal
15,TM10,Double-Edge,Normal
16,TM10,Double-Edge,Normal
17,TM10,Double-Edge,Normal
18,TM10,Double-Edge,Normal
19,TM10,Double-Edge,Normal
20,TM10,Double-Edge,Normal
21,TM10,Double-Edge,Normal
22,TM10,Double-Edge,Normal
23,TM10,Double-Edge,Normal
24,TM10,Double-Edge,Normal
25,TM10,Double-Edge,Normal
26,TM10,Double-Edge,Normal
27,TM10,Double-Edge,Normal
28,TM10,Double-Edge,Normal
29,TM10,Double-Edge,Normal
30,TM10,Double-Edge,Normal
31,TM10,Double-Edge,Normal
32,TM10,Double-Edge,Normal
33,TM10,Double-Edge,Normal
34,TM10,Double-Edge,Normal
35,TM10,Double-Edge,Normal
36,TM10,Double-Edge,Normal
37,TM10,Double-Edge,Normal
38,TM10,Double-Edge,Normal
39,TM10,Double-Edge,Normal
40,TM10,Double-Edge,Normal
41,TM10,Double-Edge,Normal
42,TM10,Double-Edge,Normal
43,TM10,Double-Edge,Normal
44,TM10,Double-Edge,Normal
45,TM10,Double-Edge,Normal
46,TM10,Double-Edge,Normal
47,TM10,Double-Edge,Normal
48,TM10,Double-Edge,Normal
49,TM10,Double-Edge,Normal
50,TM10,Double-Edge,Normal
51,TM10,Double-Edge,Normal
52,TM10,Double-Edge,Normal
53,TM10,Double-Edge,Normal
54,TM10,Double-Edge,Normal
55,TM10,Double-Edge,Normal
56,TM10,Double-Edge,Normal
57,TM10,Double-Edge,Normal
58,TM10,Double-Edge,Normal
59,TM10,Double-Edge,Normal
60,TM10,Double-Edge,Normal
61,TM10,Double-Edge,Normal
62,TM10,Double-Edge,Normal
63,TM10,Double-Edge,Normal
64,TM10,Double-Edge,Normal
65,TM10,Double-Edge,Normal
66,TM10,Double-Edge,Normal
67,TM10,Double-Edge,Normal
68,TM10,Double-Edge,Normal
69,TM10,Double-Edge,Normal
70,TM10,Double-Edge,Normal
71,TM10,Double-Edge,Normal
72,TM10,Double-Edge,Normal
73,TM10,Double-Edge,Normal
74,TM10,Double-Edge,Normal
75,TM10,Double-Edge,Normal
76,TM10,Double-Edge,Normal
77,TM10,Double-Edge,Normal
78,TM10,Double-Edge,Normal
79,TM10,Double-Edge,Normal
80,TM10,Double-Edge,Normal
81,TM10,Double-Edge,Normal
82,TM10,Double-Edge,Normal
83,TM10,Double-Edge,Normal
84,TM10,Double-Edge,Normal
85,TM10,Double-Edge,Normal
86,TM10,Double-Edge,Normal
87,TM10,Double-Edge,Normal
90,TM10,Double-Edge,Normal
91,TM10,Double-Edge,Normal
94,TM10,Double-Edge,Normal
95,TM10,Double-Edge,Normal
96,TM10,Double-Edge,Normal
97,TM10,Double-Edge,Normal
98,TM10,Double-Edge,Normal
99,TM10,Double-Edge,Normal
102,TM10,Double-Edge,Normal
103,TM10,Double-Edge,Normal
104,TM10,Double-Edge,Normal
105,TM10,Double-Edge,Normal
106,TM10,Double-Edge,Normal
107,TM10,Double-Edge,Normal
108,TM10,Double-Edge,Normal
111,TM10,Double-Edge,Normal
112,TM10,Double-Edge,Normal
113,TM10,Double-Edge,Normal
114,TM10,Double-Edge,Normal
115,TM10,Double-Edge,Normal
116,TM10,Double-Edge,Normal
117,TM10,Double-Edge,Normal
118,TM10,Double-Edge,Normal
119,TM10,Double-Edge,Normal
120,TM10,Double-Edge,Normal
121,TM10,Double-Edge,Normal
122,TM10,Double-Edge,Normal
123,TM10,Double-Edge,Normal
124,TM10,Double-Edge,Normal
125,TM10,Double-Edge,Normal
126,TM10,Double-Edge,Normal
127,TM10,Double-Edge,Normal
128,TM10,Double-Edge,Normal
130,TM10,Double-Edge,Normal
131,TM10,Double-Edge,Normal
133,TM10,Double-Edge,Normal
134,TM10,Double-Edge,Normal
135,TM10,Double-Edge,Normal
136,TM10,Double-Edge,Normal
137,TM10,Double-Edge,Normal
138,TM10,Double-Edge,Normal
139,TM10,Double-Edge,Normal
140,TM10,Double-Edge,Normal
141,TM10,Double-Edge,Normal
142,TM10,Double-Edge,Normal
143,TM10,Double-Edge,Normal
144,TM10,Double-Edge,Normal
145,TM10,Double-Edge,Normal
146,TM10,Double-Edge,Normal
147,TM10,Double-Edge,Normal
148,TM10,Double-Edge,Normal
149,TM10,Double-Edge,Normal
150,TM10,Double-Edge,Normal
151,TM10,Double-Edge,Normal
7,TM11,Bubble Beam,Water
8,TM11,Bubble Beam,Water
9,TM11,Bubble Beam,Water
19,TM11,Bubble Beam,Water
20,TM11,Bubble Beam,Water
30,TM11,Bubble Beam,Water
31,TM11,Bubble Beam,Water
34,TM11,Bubble Beam,Water
35,TM11,Bubble Beam,Water
36,TM11,Bubble Beam,Water
39,TM11,Bubble Beam,Water
40,TM11,Bubble Beam,Water
52,TM11,Bubble Beam,Water
53,TM11,Bubble Beam,Water
54,TM11,Bubble Beam,Water
55,TM11,Bubble Beam,Water
60,TM11,Bubble Beam,Water
61,TM11,Bubble Beam,Water
62,TM11,Bubble Beam,Water
72,TM11,Bubble Beam,Water
73,TM11,Bubble Beam,Water
79,TM11,Bubble Beam,Water
80,TM11,Bubble Beam,Water
