Name,Type,PP,Att.,Acc.,Category,Status,Status_Chance,Status_Target,Max_Per_Turn,Min_Per_Turn,Max_Turns,Min_Turns,Target,Chance_Stat_Change,Current_Stat_Change,Stat_Change_Amount,Priority,Heal_Percent,Damage_Recovered,Effect
Conversion 2,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User changes type to become resistant to opponent's last move.
Cotton Spore,Grass,40,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Sharply lowers opponent's Speed.
Counter,Fighting,20,-1,100,Physical,null,0,enemy,1,1,1,1,both,0,null,0,-1,0,0,A retaliation move that pays back double the damage of a physical attack. Highly accurate.
Crabhammer,Water,10,90,85,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A move that is used only by Pokémon with pincers. Likely to get a critical hit.
Cross Chop,Fighting,5,100,80,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,High critical hit ratio.
Crunch,Dark,15,80,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May lower opponent's Defense.
Curse,Ghost,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Cut,Normal,30,50,95,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Also used for cutting small bushes to open new paths.
Defense Curl,Normal,40,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Defense,1,0,0,0,Raises the user's DEFENSE. Can normally be used up to six times in a row.
Destiny Bond,Ghost,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"If the user faints, the opponent also faints."
Detect,Fighting,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Protects the user, but may fail if used consecutively."
Dig,Ground,10,100,100,Physical,null,0,enemy,2,2,1,1,enemy,0,null,0,0,0,0,"The attacker digs underground in the first turn, then pops up in the next turn to attack."
Disable,Normal,20,-1,55,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A technique that disables one of the target's moves. The disabled move can't be used until it wears off.
Dizzy Punch,Normal,10,70,100,Physical,Confusion,0.2,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. The punch is relatively strong and highly accurate.
Double Kick,Fighting,30,30,100,Physical,null,0,enemy,2,2,1,1,enemy,0,null,0,0,0,0,"A FIGHTING-type attack. As the name implies, it is actually two quick kicks in succession."
Double Slap,Normal,10,15,85,Physical,null,0,enemy,5,2,1,1,enemy,0,null,0,0,0,0,"Although each slap is weak, this attack hits the target two to five times in succession."
Double Team,Normal,15,-1,100,Physical,null,0,enemy,1,1,1,1,self,1,Evasion,0,0,0,0,"Creates illusionary copies of the user. The copies disorient the enemy, reducing its accuracy."
Double-Edge,Normal,15,100,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,-0.25,A charging tackle attack. One quarter of the damage it inflicts comes back to hurt the attacker.
Dragon Breath,Dragon,20,60,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May paralyze opponent.
Dragon Rage,Dragon,10,-1,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A DRAGON-type attack. It inflicts a set amount of damage, regardless of the target's type."
Dream Eater,Psychic,15,100,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0.5,Works only on sleeping Pokémon. This technique steals the target's HP and adds it to the user's HP.
Drill Peck,Flying,20,90,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A standard FLYING-type attack. It is strong and highly likely to hit the target.
Dynamic Punch,Fighting,5,100,50,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Confuses opponent.
Earthquake,Ground,10,100,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,An attack that inflicts damage by shaking the ground. It is useless against FLYING-type Pokémon.
Egg Bomb,Normal,10,100,75,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A NORMAL-type attack. An egg is launched at the target. It may miss, however."
Ember,Fire,25,40,100,Special,Burn,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A FIRE-type attack. Has a one-in-ten chance of leaving the target with a damaging burn.
Encore,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Forces opponent to keep using its last move for 3 turns.
Endure,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Always left with at least 1 HP, but may fail if used consecutively."
Explosion,Normal,5,170,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,-1000,"The most powerful attack of all. However, the attacker faints after using this move."
Extreme Speed,Normal,5,80,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User attacks first.
False Swipe,Normal,40,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Always leaves opponent with at least 1 HP.
Feint Attack,Dark,20,60,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Ignores Accuracy and Evasiveness.
Fire Blast,Fire,5,120,85,Special,Burn,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The strongest FIRE-type attack. Has a one-in-three chance of inflicting a burn on the target.
Fire Punch,Fire,15,75,100,Physical,Burn,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A special FIRE-type attack. Has a one-in-ten chance of inflicting a burn on the target.
Fire Spin,Fire,15,15,70,Special,null,0,enemy,1,1,5,2,enemy,0,null,0,0,0,0,A FIRE-type attack that lasts two to five turns. The target cannot move while surrounded by flames.
Fissure,Ground,5,-1,30,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Causes a single-hit knockout if it hits. Useless against FLYING-type Pokémon.
Flail,Normal,15,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"The lower the user's HP, the higher the power."
Flame Wheel,Fire,25,60,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May burn opponent.
Flamethrower,Fire,15,95,100,Special,Burn,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A powerful FIRE-type attack. Has a one-in-ten chance of leaving the target with a damaging burn.
Flash,Normal,20,-1,70,Status,null,0,enemy,1,1,1,1,enemy,1,Accuracy,-1,0,0,0,Creates a brilliant flash of light that blinds the target. This technique reduces the opponent's accuracy.
Fly,Flying,15,70,95,Physical,null,0,enemy,1,1,2,2,enemy,0,null,0,0,0,0,"The Pokémon flies high, then strikes in the next turn. Used for flying to places already visited."
Focus Energy,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Critical,1,0,0,0,Raises the likelihood of nailing the opponent's weak spot for a critical hit.
Foresight,Normal,40,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Frustration,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Power decreases with higher Friendship.
Fury Attack,Normal,20,15,85,Physical,null,0,enemy,5,2,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. The Pokémon rapidly jabs at its opponent several times.
Fury Cutter,Bug,20,40,95,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Power increases each turn.
Fury Swipes,Normal,15,18,80,Physical,null,0,enemy,5,2,1,1,enemy,0,null,0,0,0,0,The target is scratched by sharp claws two to five times in quick succession.
Future Sight,Psychic,10,120,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Damage occurs 2 turns later.
Giga Drain,Grass,10,75,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User recovers half the HP inflicted on opponent.
Glare,Normal,30,-1,75,Status,Paralysis,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The target is transfixed with terrifying sharp eyes. The target is frightened into paralysis.
Growl,Normal,40,-1,100,Status,null,0,enemy,1,1,1,1,enemy,1,Attack,-1,0,0,0,A technique that lowers the target's ATTACK power. Can normally be used up to six times.
Growth,Normal,40,-1,100,Status,null,0,enemy,1,1,1,1,self,1,"Attack,Special Attack",1,0,0,0,Raises SPECIAL to make special attacks stronger and enhance protection against special moves.
Guillotine,Normal,5,-1,30,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A single-hit knockout attack. Learned only by Pokémon that have large pincers.
Gust,Flying,35,40,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack used by bird Pokémon. A powerful wind is generated by flapping wings.
Harden,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Defense,1,0,0,0,Raises the user's DEFENSE. Useful when battling physically strong Pokémon.
Haze,Ice,30,-1,100,Status,null,0,enemy,1,1,1,1,both,1,All,0,0,0,0,"Eliminates all changes affecting status, such as SPEED and accuracy, of both Pokémon in battle."
Headbutt,Normal,15,70,100,Physical,Flinch,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Has a one-in-three chance of making the target flinch if it connects.
Heal Bell,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Heals the user's party's status conditions.
Hi Jump Kick,Fighting,20,85,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Stronger than a JUMP KICK. If it misses, the attacker sustains 1/8 the damage it should have caused."
Hidden Power,Normal,15,60,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Type and power depends on user's IVs.
Horn Attack,Normal,25,65,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. A sharp horn is driven hard into the target to inflict damage.
Horn Drill,Normal,5,-1,30,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A single-hit knockout attack. Learned only by Pokémon with a horn or horns.
Hydro Pump,Water,5,120,85,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"The strongest WATER-type attack. However, while it is powerful, it may miss the target."
Hyper Beam,Normal,5,150,90,Special,Recharging,1,self,1,1,1,1,enemy,0,null,0,0,0,0,"An extremely powerful attack. The attacker becomes so tired, it has to rest the next turn."
Hyper Fang,Normal,15,80,90,Physical,Flinch,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Has a one-in-ten chance of making the target flinch.
Hypnosis,Psychic,20,-1,60,Status,Sleep,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A special PSYCHIC-type move. The target is hypnotized into a deep sleep.
Ice Beam,Ice,10,95,100,Special,Freeze,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,An ICE-type attack. Has a one-in-ten chance of freezing the target solid.
Ice Punch,Ice,15,75,100,Physical,Freeze,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A special ICE-type attack. Has a one-in-ten chance of freezing the target.
Icy Wind,Ice,15,55,95,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Lowers opponent's Speed.
Iron Tail,Steel,15,100,75,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May lower opponent's Defense.
Jump Kick,Fighting,25,70,95,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A forceful FIGHTING-type attack. If it misses, however, the attacker gets hurt."
Karate Chop,Fighting,25,50,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Often turns into a critical hit and inflicts double the damage.
Kinesis,Psychic,15,-1,80,Status,null,0,enemy,1,1,1,1,self,1,Evasion,1,0,0,0,A special move of bending spoons to confound the enemy. Makes the user harder to hit.
Leech Life,Bug,15,20,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0.5,An HP-draining attack. It adds half the HP it drained from the target to the attacker's HP.
Leech Seed,Grass,10,-1,90,Status,Seeded,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0.0625,Plants a seed on the target Pokémon. The seed slowly drains the target's HP for the attacker.
Leer,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,enemy,1,Defense,-1,0,0,0,"A technique that lowers the target's DEFENSE. Useful against tough, armored Pokémon."
Lick,Ghost,30,20,100,Physical,Paralysis,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A GHOST-type attack. Has a one-in-three chance of leaving the target with paralysis.
Light Screen,Psychic,30,-1,100,Status,null,0,enemy,1,1,1,1,self,0,null,0,0,0,0,Reduces damage from special attacks by about half. A special PSYCHIC-type technique.
Lock-On,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User's next attack is guaranteed to hit.
Lovely Kiss,Normal,10,-1,75,Status,Sleep,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A special move that puts the target to sleep with a big kiss. (Actually, the victim passes out.)"
Low Kick,Fighting,20,50,90,Physical,Flinch,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A FIGHTING-type attack. Has a one-in-three chance of making the target flinch if it connects.
Mach Punch,Fighting,30,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User attacks first.
Magnitude,Ground,30,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Hits with random power.
Mean Look,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Opponent cannot flee or switch.
Meditate,Psychic,40,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Attack,1,0,0,0,A special technique that boosts the user's ATTACK power. Can normally be used up to six times.
Mega Drain,Grass,10,50,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0.5,A GRASS-type attack. It adds half the HP it drained from the target to the attacker's HP.
Mega Kick,Normal,5,120,75,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A NORMAL-type attack. Out of all the Pokémon kicking attacks, this is the strongest."
Mega Punch,Normal,20,80,85,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack move. It is highly accurate and relatively powerful.
Megahorn,Bug,10,120,85,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,
Metal Claw,Steel,35,50,95,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May raise user's Attack.
Metronome,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"The user waggles its finger, triggering a move. There is no telling what will happen."
Milk Drink,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User recovers half its max HP.
Mimic,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A move for learning one of the opponent's moves, for use during that battle only."
Mind Reader,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User's next attack is guaranteed to hit.
Minimize,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Evasion,1,0,0,0,Reduces the user's size and makes it harder to hit. Can normally be used up to six times.
Mirror Coat,Psychic,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"When hit by a Special Attack, user strikes back with 2x power."
Mirror Move,Flying,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A move that strikes back with the opponent's last move. This move comes after the enemy's move.
Mist,Ice,30,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Provides full protection against any enemy status attack, such as those that lower DEFENSE."
Moonlight,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User recovers HP. Amount varies with the weather.
Mud-Slap,Ground,10,20,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Lowers opponent's Accuracy.
Night Shade,Ghost,15,-1,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A GHOST-type attack. Highly accurate, it inflicts damage regardless of the target's type."
Nightmare,Ghost,15,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,10,65,85,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May lower opponent's Accuracy.
Outrage,Dragon,10,120,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User attacks for 2-3 turns but then becomes confused.
Pain Split,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The user's and opponent's HP becomes the average of both.
Pay Day,Normal,20,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A move that also nets money at the end of battle. How much depends on the attack frequency and level.
Peck,Flying,35,35,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A standard FLYING-type attack. It is favored by Pokémon that have beaks and/or horns.
Perish Song,Normal,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Any Pokémon in play when this attack is used faints in 3 turns.
Petal Dance,Grass,20,70,100,Physical,Confusion,1,self,1,1,3,2,enemy,0,null,0,0,0,0,"A dance-like attack that lasts two to three turns. Afterwards, the attacker becomes confused."
Pin Missile,Bug,20,14,85,Physical,null,0,enemy,5,2,1,1,enemy,0,null,0,0,0,0,An attack that fires many needle-like projectiles from the body. Strikes several times.
Poison Gas,Poison,40,-1,100,Status,Poison,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A poisonous cloud of gas is forcefully expelled to poison the target.
Poison Powder,Poison,35,-1,75,Status,Poison,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A technique that poisons the target. If poisoned, the victim loses HP steadily."
Poison Sting,Poison,35,15,100,Physical,Poison,0.2,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A POISON-type attack. Has a one-in- five chance of leaving the target with the lingering effects of poison.
Pound,Normal,35,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Slightly stronger than TACKLE. Many Pokémon know this move.
Powder Snow,Ice,25,40,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May freeze opponent.
Present,Normal,15,-1,90,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Either deals damage or heals.
Protect,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Protects the user, but may fail if used consecutively."
Psybeam,Psychic,20,65,100,Special,Confusion,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A PSYCHIC-type attack. Has a one-in-ten chance of making the target confused.
Psych Up,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Copies the opponent's stat changes.
Psychic,Psychic,10,90,100,Special,null,0,enemy,1,1,1,1,enemy,0.33,Special Defense,-1,0,0,0,A PSYCHIC-type attack. Has a one-in-three chance of lowering the target's SPECIAL rating.
Psywave,Psychic,15,-1,80,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A PSYCHIC-type attack of varying intensity. It occasionally inflicts heavy damage.
Pursuit,Dark,20,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Double power if the opponent is switching out.
Quick Attack,Normal,30,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,1,0,0,"An attack that always strikes first. If both Pokémon use this, the one with higher SPEED attacks first."
Rage,Normal,20,20,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A non-stop attack move. The user's ATTACK power increases every time it sustains damage.
Rain Dance,Water,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Makes it rain for 5 turns.
Rapid Spin,Normal,40,50,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Raises user's Speed and removes entry hazards and trap move effects.
Razor Leaf,Grass,25,85,95,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A GRASS-type attack that sends sharp-edged leaves at the target. Likely to get a critical hit.
Razor Wind,Normal,10,80,75,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A two-turn attack with the wind attack in the second turn. Learned by many FLYING-type Pokémon.
Recover,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,self,0,null,0,0,0.5,0,Restores HP by 1/2 of the user's maximum HP. Few Pokémon learn this technique on their own.
Reflect,Psychic,20,-1,100,Status,null,0,enemy,1,1,1,1,self,0,null,0,0,0,0,Reduces damage from physical attacks by about half. A special PSYCHIC-type technique.
Rest,Psychic,10,-1,100,Status,Sleep,1,enemy,1,1,1,1,self,0,null,0,0,0,1,The user takes a nap to fully restore its HP and recover from any status abnormalities.
Return,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Power increases with higher Friendship.
Reversal,Fighting,15,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"The lower the user's HP, the higher the power."
Roar,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A terrifying roar that drives wild Pokémon away. It is useful only in the wild.
Rock Slide,Rock,10,75,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A ROCK-type attack that hits the target with an avalanche of rocks and boulders.
Rock Smash,Fighting,15,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May lower opponent's Defense.
Rock Throw,Rock,15,50,65,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A ROCK-type attack. As the name implies, a huge boulder is dropped on the target."
Rolling Kick,Fighting,15,60,85,Physical,Flinch,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A sharp FIGHTING-type attack. Has a one-in-three chance of making the target flinch if it connects.
Rollout,Rock,20,30,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,5,100,95,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May burn opponent.
