Pokemon#,Level/TM/HM,Move_Name,Type,Power,Accuracy,PP,,,,,,,,,,,,,,,,,,,
3,13,Vine Whip,Grass,35,1,10,,,,,,,,,,,,,,,,,,,
3,22,PoisonPowder,Poison,Null,0.75,35,,,,,,,,,,,,,,,,,,,
3,30,Razor Leaf,Grass,55,0.95,25,,,,,,,,,,,,,,,,,,,
3,43,Growth,Normal,Null,Null,40,,,,,,,,,,,,,,,,,,,
3,55,Sleep Powder,Grass,Null,0.75,15,,,,,,,,,,,,,,,,,,,
3,65,SolarBeam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
3,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
3,TM03,Swords Dance,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
3,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
3,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
3,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
3,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
3,TM15,Hyper Beam,Normal,150,0.9,5,,,,,,,,,,,,,,,,,,,
3,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
3,TM21,Mega Drain,Grass,40,1,10,,,,,,,,,,,,,,,,,,,
3,TM22,SolarBeam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
3,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
3,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
3,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
3,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
3,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
3,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
4,1,Growl,Normal,Null,1,40,,,,,,,,,,,,,,,,,,,
4,1,Scratch,Normal,40,1,35,,,,,,,,,,,,,,,,,,,
4,9,Ember,Fire,40,1,25,,,,,,,,,,,,,,,,,,,
4,15,Leer,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
4,22,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
4,30,Slash,Normal,70,1,20,,,,,,,,,,,,,,,,,,,
4,38,Flamethrower,Fire,95,1,15,,,,,,,,,,,,,,,,,,,
4,46,Fire Spin,Fire,15,0.7,15,,,,,,,,,,,,,,,,,,,
4,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
4,HM04,Strength,Normal,80,1,15,,,,,,,,,,,,,,,,,,,
4,TM01,Mega Punch,Normal,80,0.85,20,,,,,,,,,,,,,,,,,,,
4,TM03,Swords Dance,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
4,TM05,Mega Kick,Normal,120,0.75,5,,,,,,,,,,,,,,,,,,,
4,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
4,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
4,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
4,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
4,TM17,Submission,Fighting,80,0.8,25,,,,,,,,,,,,,,,,,,,
4,TM18,Counter,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
4,TM19,Seismic Toss,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
4,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
4,TM23,Dragon Rage,Dragon,Null,1,10,,,,,,,,,,,,,,,,,,,
4,TM28,Dig,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
4,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
4,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
4,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
4,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
4,TM38,Fire Blast,Fire,120,0.85,5,,,,,,,,,,,,,,,,,,,
4,TM39,Swift,Normal,60,Null,20,,,,,,,,,,,,,,,,,,,
4,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
4,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
4,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
5,1,Ember,Fire,40,1,25,,,,,,,,,,,,,,,,,,,
5,1,Growl,Normal,Null,1,40,,,,,,,,,,,,,,,,,,,
5,1,Scratch,Normal,40,1,35,,,,,,,,,,,,,,,,,,,
5,9,Ember,Fire,40,1,25,,,,,,,,,,,,,,,,,,,
5,15,Leer,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
5,24,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
5,33,Slash,Normal,70,1,20,,,,,,,,,,,,,,,,,,,
5,42,Flamethrower,Fire,95,1,15,,,,,,,,,,,,,,,,,,,
5,56,Fire Spin,Fire,15,0.7,15,,,,,,,,,,,,,,,,,,,
5,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
5,HM04,Strength,Normal,80,1,15,,,,,,,,,,,,,,,,,,,
5,TM01,Mega Punch,Normal,80,0.85,20,,,,,,,,,,,,,,,,,,,
5,TM03,Swords Dance,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
5,TM05,Mega Kick,Normal,120,0.75,5,,,,,,,,,,,,,,,,,,,
5,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
5,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
5,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
5,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
5,TM17,Submission,Fighting,80,0.8,25,,,,,,,,,,,,,,,,,,,
5,TM18,Counter,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
5,TM19,Seismic Toss,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
5,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
5,TM23,Dragon Rage,Dragon,Null,1,10,,,,,,,,,,,,,,,,,,,
5,TM28,Dig,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
5,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
5,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
5,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
5,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
5,TM38,Fire Blast,Fire,120,0.85,5,,,,,,,,,,,,,,,,,,,
5,TM39,Swift,Normal,60,Null,20,,,,,,,,,,,,,,,,,,,
5,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
5,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
5,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
6,1,Ember,Fire,40,1,25,,,,,,,,,,,,,,,,,,,
6,1,Growl,Normal,Null,1,40,,,,,,,,,,,,,,,,,,,
6,1,Leer,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
6,1,Scratch,Normal,40,1,35,,,,,,,,,,,,,,,,,,,
6,9,Ember,Fire,40,1,25,,,,,,,,,,,,,,,,,,,
6,15,Leer,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
6,24,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
6,36,Slash,Normal,70,1,20,,,,,,,,,,,,,,,,,,,
6,46,Flamethrower,Fire,95,1,15,,,,,,,,,,,,,,,,,,,
6,55,Fire Spin,Fire,15,0.7,15,,,,,,,,,,,,,,,,,,,
6,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
6,HM02Y,Fly,Flying,70,0.95,15,,,,,,,,,,,,,,,,,,,
6,HM04,Strength,Normal,80,1,15,,,,,,,,,,,,,,,,,,,
6,TM01,Mega Punch,Normal,80,0.85,20,,,,,,,,,,,,,,,,,,,
6,TM03,Swords Dance,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
6,TM05,Mega Kick,Normal,120,0.75,5,,,,,,,,,,,,,,,,,,,
6,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
6,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
6,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
6,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
6,TM15,Hyper Beam,Normal,150,0.9,5,,,,,,,,,,,,,,,,,,,
6,TM17,Submission,Fighting,80,0.8,25,,,,,,,,,,,,,,,,,,,
6,TM18,Counter,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
6,TM19,Seismic Toss,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
6,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
6,TM23,Dragon Rage,Dragon,Null,1,10,,,,,,,,,,,,,,,,,,,
6,TM26,Earthquake,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
6,TM27,Fissure,Ground,Null,0.3,5,,,,,,,,,,,,,,,,,,,
6,TM28,Dig,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
6,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
6,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
6,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
6,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
6,TM38,Fire Blast,Fire,120,0.85,5,,,,,,,,,,,,,,,,,,,
6,TM39,Swift,Normal,60,Null,20,,,,,,,,,,,,,,,,,,,
6,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
6,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
6,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
7,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
7,1,Tail Whip,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
7,8,Bubble,Water,20,1,30,,,,,,,,,,,,,,,,,,,
7,15,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
7,22,Bite,Normal,60,1,25,,,,,,,,,,,,,,,,,,,
7,28,Withdraw,Water,Null,Null,40,,,,,,,,,,,,,,,,,,,
7,35,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
7,42,Hydro Pump,Water,120,0.8,5,,,,,,,,,,,,,,,,,,,
7,HM03,Surf,Water,95,1,15,,,,,,,,,,,,,,,,,,,
7,HM04,Strength,Normal,80,1,15,,,,,,,,,,,,,,,,,,,
7,TM01,Mega Punch,Normal,80,0.85,20,,,,,,,,,,,,,,,,,,,
7,TM05,Mega Kick,Normal,120,0.75,5,,,,,,,,,,,,,,,,,,,
7,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
7,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
7,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
7,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
7,TM11,BubbleBeam,Water,65,1,20,,,,,,,,,,,,,,,,,,,
7,TM12,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
7,TM13,Ice Beam,Ice,95,1,10,,,,,,,,,,,,,,,,,,,
7,TM14,Blizzard,Ice,120,0.9,5,,,,,,,,,,,,,,,,,,,
7,TM17,Submission,Fighting,80,0.8,25,,,,,,,,,,,,,,,,,,,
7,TM18,Counter,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
7,TM19,Seismic Toss,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
7,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
7,TM28,Dig,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
7,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
7,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
7,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
7,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
7,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
7,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
7,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
8,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
8,1,Tail Whip,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
8,1,Bubble,Water,20,1,30,,,,,,,,,,,,,,,,,,,
8,8,Bubble,Water,20,1,30,,,,,,,,,,,,,,,,,,,
8,15,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
8,24,Bite,Normal,60,1,25,,,,,,,,,,,,,,,,,,,
8,31,Withdraw,Water,Null,Null,40,,,,,,,,,,,,,,,,,,,
8,39,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
8,47,Hydro Pump,Water,120,0.8,5,,,,,,,,,,,,,,,,,,,
8,HM03,Surf,Water,95,1,15,,,,,,,,,,,,,,,,,,,
8,HM04,Strength,Normal,80,1,15,,,,,,,,,,,,,,,,,,,
8,TM01,Mega Punch,Normal,80,0.85,20,,,,,,,,,,,,,,,,,,,
8,TM05,Mega Kick,Normal,120,0.75,5,,,,,,,,,,,,,,,,,,,
8,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
8,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
8,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
8,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
8,TM11,BubbleBeam,Water,65,1,20,,,,,,,,,,,,,,,,,,,
8,TM12,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
8,TM13,Ice Beam,Ice,95,1,10,,,,,,,,,,,,,,,,,,,
8,TM14,Blizzard,Ice,120,0.9,5,,,,,,,,,,,,,,,,,,,
8,TM17,Submission,Fighting,80,0.8,25,,,,,,,,,,,,,,,,,,,
8,TM18,Counter,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
8,TM19,Seismic Toss,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
8,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
8,TM28,Dig,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
8,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
8,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
8,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
8,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
8,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
8,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
8,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
9,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
9,1,Tail Whip,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
9,1,Bubble,Water,20,1,30,,,,,,,,,,,,,,,,,,,
9,1,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
9,8,Bubble,Water,20,1,30,,,,,,,,,,,,,,,,,,,
9,15,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
9,24,Bite,Normal,60,1,25,,,,,,,,,,,,,,,,,,,
9,31,Withdraw,Water,Null,Null,40,,,,,,,,,,,,,,,,,,,
9,42,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
9,52,Hydro Pump,Water,120,0.8,5,,,,,,,,,,,,,,,,,,,
9,HM03,Surf,Water,95,1,15,,,,,,,,,,,,,,,,,,,
9,HM04,Strength,Normal,80,1,15,,,,,,,,,,,,,,,,,,,
9,TM01,Mega Punch,Normal,80,0.85,20,,,,,,,,,,,,,,,,,,,
9,TM05,Mega Kick,Normal,120,0.75,5,,,,,,,,,,,,,,,,,,,
9,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
9,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
9,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
9,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
9,TM11,BubbleBeam,Water,65,1,20,,,,,,,,,,,,,,,,,,,
9,TM12,Water Gun,Water,40,1,25,,,,,,,,,,,,,,,,,,,
9,TM13,Ice Beam,Ice,95,1,10,,,,,,,,,,,,,,,,,,,
9,TM14,Blizzard,Ice,120,0.9,5,,,,,,,,,,,,,,,,,,,
9,TM15,Hyper Beam,Normal,150,0.9,5,,,,,,,,,,,,,,,,,,,
9,TM17,Submission,Fighting,80,0.8,25,,,,,,,,,,,,,,,,,,,
9,TM18,Counter,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
9,TM19,Seismic Toss,Fighting,Null,1,20,,,,,,,,,,,,,,,,,,,
9,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
9,TM26,Earthquake,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
9,TM27,Fissure,Ground,Null,0.3,5,,,,,,,,,,,,,,,,,,,
9,TM28,Dig,Ground,100,1,10,,,,,,,,,,,,,,,,,,,
9,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
9,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
9,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
9,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
9,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
9,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
9,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
10,1,String Shot,Bug,Null,0.95,40,,,,,,,,,,,,,,,,,,,
10,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
11,1,Harden,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
12,1,Confusion,Psychic,50,1,25,,,,,,,,,,,,,,,,,,,
12,12,Confusion,Psychic,50,1,25,,,,,,,,,,,,,,,,,,,
12,15,PoisonPowder,Poison,Null,0.75,35,,,,,,,,,,,,,,,,,,,
12,16,Stun Spore,Grass,Null,0.75,30,,,,,,,,,,,,,,,,,,,
12,17,Sleep Powder,Grass,Null,0.75,15,,,,,,,,,,,,,,,,,,,
12,21,Supersonic,Normal,Null,0.55,20,,,,,,,,,,,,,,,,,,,
12,26,Whirlwind,Normal,Null,0.85,20,,,,,,,,,,,,,,,,,,,
12,32,Psybeam,Psychic,65,1,20,,,,,,,,,,,,,,,,,,,
12,HM05Y,Flash,Normal,Null,0.7,20,,,,,,,,,,,,,,,,,,,
12,TM02,Razor Wind,Normal,80,0.75,10,,,,,,,,,,,,,,,,,,,
12,TM04,Whirlwind,Normal,Null,0.85,20,,,,,,,,,,,,,,,,,,,
12,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
12,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
12,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
12,TM15,Hyper Beam,Normal,150,0.9,5,,,,,,,,,,,,,,,,,,,
12,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
12,TM21,Mega Drain,Grass,40,1,10,,,,,,,,,,,,,,,,,,,
12,TM22,SolarBeam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
12,TM29,Psychic,Psychic,90,1,10,,,,,,,,,,,,,,,,,,,
12,TM30,Teleport,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
12,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
12,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
12,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
12,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
12,TM39,Swift,Normal,60,Null,20,,,,,,,,,,,,,,,,,,,
12,TM44,Rest,Psychic,Null,Null,10,,,,,,,,,,,,,,,,,,,
12,TM46,Psywave,Psychic,Null,0.8,15,,,,,,,,,,,,,,,,,,,
12,TM50,Substitute,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
13,1,String Shot,Bug,Null,0.95,40,,,,,,,,,,,,,,,,,,,
13,1,Poison Sting,Poison,15,1,35,,,,,,,,,,,,,,,,,,,
14,1,Harden,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
15,1,Fury Attack,Normal,15,0.85,20,,,,,,,,,,,,,,,,,,,
15,12,Fury Attack,Normal,15,0.85,20,,,,,,,,,,,,,,,,,,,
15,16,Focus Energy,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
15,20,Twineedle,Bug,25,1,20,,,,,,,,,,,,,,,,,,,
15,25,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
15,30,Pin Missile,Bug,14,0.85,20,,,,,,,,,,,,,,,,,,,
15,35,Agility,Psychic,Null,Null,30,,,,,,,,,,,,,,,,,,,
15,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
15,TM03,Swords Dance,Normal,Null,Null,30,,,,,,,,,,,,,,,,,,,
15,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
15,TM09,Take Down,Normal,90,0.85,20,,,,,,,,,,,,,,,,,,,
15,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
15,TM15,Hyper Beam,Normal,150,0.9,5,,,,,,,,,,,,,,,,,,,
15,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
15,TM21,Mega Drain,Grass,40,1,10,,,,,,,,,,,,,,,,,,,
15,TM31,Mimic,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
15,TM32,Double Team,Normal,Null,Null,15,,,,,,,,,,,,,,,,,,,
15,TM33,Reflect,Psychic,Null,Null,20,,,,,,,,,,,,,,,,,,,
15,TM34,Bide,Normal,Null,Null,10,,,,,,,,,,,,,,,,,,,
15,TM39,Swift,Normal,60,Null,20,,,,,,,,,,,,,,,,,,,
15,TM40,Skull Bash,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
